Participants,Sat 03/28,Sun,Mon,Tue,Wed,Thu,Fri,Sat 04/04,Sun2,Mon2,Tue3,Wed4,Thu5,Fri6,Sat7,Sun8,Total,Grand
Ma,6000,1948,10439,31101,28094,17970,11646,21782,8742,14848,14596,14868,,,,,182034,
Vi,11020,14182,13504,12567,12328,12305,13759,14980,13261,11664,12609,13804,,,,,155983,
Co,966,6767,6216,10493,15107,18440,7432,15527,19385,8223,11591,11767,,,,,131914,
Yi,16663,12300,11253,11937,4883,4241,4801,13032,17759,10882,12724,11491,,,,,131966,
We,11996,10387,10320,10307,10655,10678,10331,12824,10134,11375,10596,,,,,,119603,
Bo,8887,7711,7132,5816,12211,10454,6990,14791,16781,10628,8861,6895,,,,,115157,
Ki,5940,7765,9063,6820,6850,7628,6896,11089,14638,9437,10328,5967,,,,,102421,
Pa,1621,7777,12688,7360,9986,10183,12491,7070,11727,10654,8630,9152,,,,,109339,
Vr,9557,4400,2859,2634,889,4401,10122,16000,10705,14502,12280,,,,,,88349,
Am,12500,3000,,5000,,,,11000,6000,8000,6000,,,,,,51500,
Sr,,,,,,,,13000,13000,5600,10500,8200,,,,,50300,
Ta,15142,3583,1149,1346,7257,2192,300,6982,3222,594,6982,,,,,,48749,
Kr,3141,1308,3564,5685,4705,3334,4732,4874,4705,3996,5620,4853,,,,,50517,
Ra,5739,2100,3112,6008,5889,2467,4378,5017,4107,3506,3440,4560,,,,,50323,
Ke,3774,1831,3470,4146,4143,1443,3963,5062,3566,4140,,,,,,,35538,
Ab,5441,4365,5229,4698,5232,,,,,,,,,,,,24965,
Ch,,,,,,,,5709,8588,4712,5412,5337,,,,,29758,
